regiao,data_hora,temperatura,umidade,chuva_mm,nivel_rio,velocidade_vento,inclinacao_terreno,risco_real
Litoral SP - Área de Enchente,2026-06-09 10:09:10.439049,22.64,65.9,59.51,3.7,26.25,43.41,MEDIO
Interior SP - Área de Queimada,2026-06-09 09:09:10.439059,25.98,73.04,80.17,3.67,28.49,31.0,ALTO
Zona Sul - Área de Deslizamento,2026-06-09 08:09:10.439068,29.48,23.03,84.87,2.37,7.26,38.34,ALTO
Zona Sul - Área de Deslizamento,2026-06-09 07:09:10.439078,24.33,67.56,6.63,3.64,25.22,18.17,BAIXO
Litoral SP - Área de Enchente,2026-06-09 06:09:10.439088,37.51,84.44,55.75,7.43,28.34,34.03,ALTO
Zona Sul - Área de Deslizamento,2026-06-09 05:09:10.439098,21.36,79.92,90.2,4.75,10.74,43.25,ALTO
Zona Norte - Área de Enchente,2026-06-09 04:09:10.439108,23.01,43.07,115.77,3.46,51.01,43.41,ALTO
Litoral SP - Área de Enchente,2026-06-09 03:09:10.439118,41.15,44.4,51.3,2.41,43.1,1.93,MEDIO
Interior SP - Área de Queimada,2026-06-09 02:09:10.439128,29.89,92.21,27.57,5.38,10.95,31.3,MEDIO
Interior SP - Área de Queimada,2026-06-09 01:09:10.439140,19.17,60.7,90.72,5.35,6.81,40.13,ALTO
Zona Norte - Área de Enchente,2026-06-09 00:09:10.439149,31.09,42.78,112.85,3.31,34.9,22.64,ALTO
Litoral SP - Área de Enchente,2026-06-08 23:09:10.439159,32.48,34.13,101.39,1.98,35.69,14.75,ALTO
Zona Norte - Área de Enchente,2026-06-08 22:09:10.439169,38.07,82.11,56.31,4.9,58.02,35.46,MEDIO
Zona Sul - Área de Deslizamento,2026-06-08 21:09:10.439181,40.94,84.86,117.05,7.6,43.89,28.91,ALTO
Interior SP - Área de Queimada,2026-06-08 20:09:10.439191,34.74,40.84,33.08,3.29,56.42,24.4,BAIXO
Interior SP - Área de Queimada,2026-06-08 19:09:10.439201,29.5,75.8,41.14,2.89,28.61,25.53,MEDIO
Litoral SP - Área de Enchente,2026-06-08 18:09:10.439211,37.45,93.69,43.63,2.17,49.37,39.4,MEDIO
Litoral SP - Área de Enchente,2026-06-08 17:09:10.439226,19.26,56.15,112.06,6.71,7.09,6.97,ALTO
Interior SP - Área de Queimada,2026-06-08 16:09:10.439236,37.93,26.07,36.93,2.39,15.2,24.78,ALTO
Interior SP - Área de Queimada,2026-06-08 15:09:10.439247,32.06,64.66,72.9,3.36,33.27,31.37,MEDIO
Litoral SP - Área de Enchente,2026-06-08 14:09:10.439258,29.05,92.84,25.4,2.15,26.49,43.39,BAIXO
Litoral SP - Área de Enchente,2026-06-08 13:09:10.439269,23.13,87.62,24.62,2.34,53.15,13.34,BAIXO
Interior SP - Área de Queimada,2026-06-08 12:09:10.439281,39.16,71.32,38.92,3.95,28.21,34.35,BAIXO
Zona Sul - Área de Deslizamento,2026-06-08 11:09:10.439292,37.19,28.73,2.6,6.47,7.55,1.64,ALTO
Zona Sul - Área de Deslizamento,2026-06-08 10:09:10.439301,28.66,90.88,110.14,2.32,58.22,19.13,ALTO
Zona Sul - Área de Deslizamento,2026-06-08 09:09:10.439311,22.03,74.53,40.26,3.53,51.66,19.26,MEDIO
Zona Norte - Área de Enchente,2026-06-08 08:09:10.439321,22.65,52.48,4.47,2.87,43.99,12.78,BAIXO
Litoral SP - Área de Enchente,2026-06-08 07:09:10.439331,18.95,59.71,61.35,6.04,44.31,20.74,ALTO
Zona Norte - Área de Enchente,2026-06-08 06:09:10.439342,39.55,56.8,68.91,2.26,42.84,26.88,MEDIO
Zona Sul - Área de Deslizamento,2026-06-08 05:09:10.439352,29.61,53.05,25.67,3.14,37.66,6.76,BAIXO
Zona Norte - Área de Enchente,2026-06-08 04:09:10.439362,33.78,76.9,25.37,7.92,21.42,23.73,ALTO
Zona Norte - Área de Enchente,2026-06-08 03:09:10.439372,40.57,25.79,61.99,3.49,49.11,30.58,MEDIO
Litoral SP - Área de Enchente,2026-06-08 02:09:10.439381,29.47,46.59,72.53,2.91,52.41,21.98,MEDIO
Zona Norte - Área de Enchente,2026-06-08 01:09:10.439393,33.67,81.88,34.35,3.07,44.69,38.48,BAIXO
Zona Sul - Área de Deslizamento,2026-06-08 00:09:10.439402,27.2,25.79,37.75,5.13,8.91,20.96,MEDIO
Zona Sul - Área de Deslizamento,2026-06-07 23:09:10.439412,33.38,68.86,41.91,1.38,19.34,1.68,MEDIO
Zona Norte - Área de Enchente,2026-06-07 22:09:10.439440,26.08,53.39,22.06,0.6,37.78,31.42,BAIXO
Interior SP - Área de Queimada,2026-06-07 21:09:10.439449,30.16,50.23,34.62,3.88,49.83,11.09,BAIXO
Litoral SP - Área de Enchente,2026-06-07 20:09:10.439463,40.74,61.89,35.13,3.69,59.05,11.45,BAIXO
Interior SP - Área de Queimada,2026-06-07 19:09:10.439473,32.74,84.63,49.69,2.15,28.31,1.2,MEDIO
Interior SP - Área de Queimada,2026-06-07 18:09:10.439483,18.04,88.43,57.12,5.62,24.23,37.94,MEDIO
Litoral SP - Área de Enchente,2026-06-07 17:09:10.439494,23.46,60.94,68.22,5.1,23.34,38.18,MEDIO
Litoral SP - Área de Enchente,2026-06-07 16:09:10.439504,26.51,79.1,67.26,1.83,42.71,7.55,MEDIO
Zona Norte - Área de Enchente,2026-06-07 15:09:10.439513,20.83,38.16,101.45,3.83,21.98,15.51,ALTO
Zona Sul - Área de Deslizamento,2026-06-07 14:09:10.439522,32.67,76.73,100.8,1.48,56.21,5.56,ALTO
Interior SP - Área de Queimada,2026-06-07 13:09:10.439532,23.92,61.75,63.52,5.13,3.14,8.47,MEDIO
Interior SP - Área de Queimada,2026-06-07 12:09:10.439541,35.66,70.99,1.14,3.28,41.61,38.82,BAIXO
Zona Norte - Área de Enchente,2026-06-07 11:09:10.439551,34.47,21.75,112.55,7.01,18.3,11.99,ALTO
Zona Norte - Área de Enchente,2026-06-07 10:09:10.439562,19.63,23.76,101.15,1.5,50.29,0.23,ALTO
Zona Sul - Área de Deslizamento,2026-06-07 09:09:10.439571,35.53,31.71,106.03,1.0,9.06,28.39,ALTO
Litoral SP - Área de Enchente,2026-06-07 08:09:10.439581,30.09,55.18,117.3,7.56,34.77,37.85,ALTO
Interior SP - Área de Queimada,2026-06-07 07:09:10.439590,41.32,87.3,2.27,6.37,9.64,24.69,ALTO
Zona Norte - Área de Enchente,2026-06-07 06:09:10.439601,32.2,93.4,61.69,4.38,27.36,29.52,MEDIO
Zona Norte - Área de Enchente,2026-06-07 05:09:10.439610,30.8,90.22,14.35,6.78,40.29,40.63,ALTO
Zona Sul - Área de Deslizamento,2026-06-07 04:09:10.439622,30.82,35.2,50.75,1.21,54.6,28.42,MEDIO
Litoral SP - Área de Enchente,2026-06-07 03:09:10.439631,38.84,67.23,67.78,4.7,35.21,22.48,MEDIO
Zona Sul - Área de Deslizamento,2026-06-07 02:09:10.439641,32.57,29.61,5.15,0.9,36.91,12.19,BAIXO
Interior SP - Área de Queimada,2026-06-07 01:09:10.439652,33.89,74.12,47.34,7.23,4.28,17.17,ALTO
Zona Sul - Área de Deslizamento,2026-06-07 00:09:10.439662,22.77,93.19,54.69,1.91,2.84,26.33,MEDIO
Zona Sul - Área de Deslizamento,2026-06-06 23:09:10.439671,23.95,64.51,58.78,5.24,29.91,41.7,MEDIO
Zona Sul - Área de Deslizamento,2026-06-06 22:09:10.439681,31.8,54.94,88.57,7.35,59.89,41.8,ALTO
Zona Norte - Área de Enchente,2026-06-06 21:09:10.439690,32.05,29.58,33.43,7.93,3.32,31.61,ALTO
Zona Norte - Área de Enchente,2026-06-06 20:09:10.439700,21.77,28.37,81.54,5.78,32.3,41.89,ALTO
Zona Norte - Área de Enchente,2026-06-06 19:09:10.439711,25.85,93.12,110.47,1.81,46.01,32.75,ALTO
Zona Sul - Área de Deslizamento,2026-06-06 18:09:10.439720,23.27,83.95,16.33,1.91,7.88,26.61,BAIXO
Litoral SP - Área de Enchente,2026-06-06 17:09:10.439730,22.39,65.89,19.96,1.09,42.68,15.63,BAIXO
Zona Norte - Área de Enchente,2026-06-06 16:09:10.439740,35.65,38.08,26.39,5.9,43.13,13.83,MEDIO
Zona Sul - Área de Deslizamento,2026-06-06 15:09:10.439750,38.78,46.14,80.83,7.62,25.36,7.36,ALTO
Interior SP - Área de Queimada,2026-06-06 14:09:10.439761,31.38,87.32,9.12,2.65,11.94,20.4,BAIXO
Interior SP - Área de Queimada,2026-06-06 13:09:10.439773,21.65,56.38,1.37,2.68,18.27,3.42,BAIXO
Zona Sul - Área de Deslizamento,2026-06-06 12:09:10.439784,30.67,83.36,10.88,1.12,55.99,36.3,BAIXO
Zona Sul - Área de Deslizamento,2026-06-06 11:09:10.439794,39.74,93.08,28.47,4.45,28.94,17.33,MEDIO
Zona Sul - Área de Deslizamento,2026-06-06 10:09:10.439804,20.89,60.7,47.24,1.54,28.7,30.92,MEDIO
Interior SP - Área de Queimada,2026-06-06 09:09:10.439814,41.12,33.12,23.66,6.67,10.86,34.13,ALTO
Interior SP - Área de Queimada,2026-06-06 08:09:10.439823,25.02,83.96,85.32,3.39,18.16,15.08,ALTO
Zona Sul - Área de Deslizamento,2026-06-06 07:09:10.439832,27.62,33.93,48.11,3.53,24.25,25.62,MEDIO
Zona Norte - Área de Enchente,2026-06-06 06:09:10.439844,32.5,42.81,50.03,2.73,56.72,38.68,MEDIO
Zona Sul - Área de Deslizamento,2026-06-06 05:09:10.439853,23.67,64.63,13.1,5.41,23.55,14.67,MEDIO
Litoral SP - Área de Enchente,2026-06-06 04:09:10.439863,41.11,42.22,49.61,6.58,44.73,16.11,ALTO
Interior SP - Área de Queimada,2026-06-06 03:09:10.439872,18.8,71.58,110.43,4.87,28.98,15.31,ALTO
Zona Sul - Área de Deslizamento,2026-06-06 02:09:10.440243,34.22,74.07,14.19,5.29,2.76,27.57,MEDIO
Zona Sul - Área de Deslizamento,2026-06-06 01:09:10.440257,19.67,87.97,64.36,7.41,45.81,22.46,ALTO
Zona Norte - Área de Enchente,2026-06-06 00:09:10.440267,30.0,62.85,14.04,7.08,45.02,36.61,ALTO
Interior SP - Área de Queimada,2026-06-05 23:09:10.440277,36.45,68.07,45.05,7.0,36.81,33.33,ALTO
Zona Sul - Área de Deslizamento,2026-06-05 22:09:10.440288,40.27,57.69,77.62,4.27,19.34,43.99,MEDIO
Zona Norte - Área de Enchente,2026-06-05 21:09:10.440298,23.12,78.57,9.89,4.98,44.94,11.56,MEDIO
Zona Norte - Área de Enchente,2026-06-05 20:09:10.440308,40.93,42.67,81.36,2.65,15.46,32.99,ALTO
Zona Sul - Área de Deslizamento,2026-06-05 19:09:10.440317,30.42,61.4,34.78,4.15,24.87,0.37,MEDIO
Litoral SP - Área de Enchente,2026-06-05 18:09:10.440327,24.52,86.62,62.82,5.69,37.14,29.24,MEDIO
Zona Norte - Área de Enchente,2026-06-05 17:09:10.440337,31.75,21.5,1.84,1.61,19.47,39.97,BAIXO
Interior SP - Área de Queimada,2026-06-05 16:09:10.440346,29.29,24.25,77.11,1.65,3.21,25.91,MEDIO
Litoral SP - Área de Enchente,2026-06-05 15:09:10.440356,35.8,62.43,93.68,3.78,4.37,7.42,ALTO
Litoral SP - Área de Enchente,2026-06-05 14:09:10.440365,31.76,28.96,23.94,1.17,38.87,14.69,BAIXO
Interior SP - Área de Queimada,2026-06-05 13:09:10.440376,35.86,57.84,33.61,6.12,24.35,36.57,ALTO
Zona Sul - Área de Deslizamento,2026-06-05 12:09:10.440385,35.97,35.16,77.9,6.55,15.91,12.57,ALTO
Litoral SP - Área de Enchente,2026-06-05 11:09:10.440395,27.79,21.28,107.68,4.67,31.6,30.58,ALTO
Interior SP - Área de Queimada,2026-06-05 10:09:10.440405,28.05,62.18,21.89,2.66,6.8,15.93,BAIXO
Zona Sul - Área de Deslizamento,2026-06-05 09:09:10.440418,34.76,47.59,109.95,6.28,13.62,19.96,ALTO
Zona Sul - Área de Deslizamento,2026-06-05 08:09:10.440440,40.17,82.74,97.92,7.92,53.2,8.64,ALTO
Litoral SP - Área de Enchente,2026-06-05 07:09:10.440447,23.47,33.47,58.85,3.24,6.33,24.96,MEDIO
Zona Sul - Área de Deslizamento,2026-06-05 06:09:10.440456,37.92,60.84,30.52,7.87,47.21,11.26,ALTO
Zona Norte - Área de Enchente,2026-06-05 05:09:10.440464,22.79,52.61,4.78,5.44,3.99,11.07,MEDIO
Interior SP - Área de Queimada,2026-06-05 04:09:10.440474,27.21,59.76,32.65,7.64,56.76,6.24,ALTO
Interior SP - Área de Queimada,2026-06-05 03:09:10.440483,26.17,89.69,106.99,7.83,16.44,15.48,ALTO
Litoral SP - Área de Enchente,2026-06-05 02:09:10.440492,19.76,24.24,74.35,5.1,18.55,4.51,MEDIO
Zona Norte - Área de Enchente,2026-06-05 01:09:10.440502,22.1,63.25,119.8,3.16,48.24,2.1,ALTO
Litoral SP - Área de Enchente,2026-06-05 00:09:10.440511,19.52,28.86,104.19,6.94,10.18,5.95,ALTO
Interior SP - Área de Queimada,2026-06-04 23:09:10.440520,19.86,86.71,112.98,7.98,3.44,5.58,ALTO
Zona Sul - Área de Deslizamento,2026-06-04 22:09:10.440530,18.01,21.7,27.44,4.97,52.43,42.28,MEDIO
Zona Norte - Área de Enchente,2026-06-04 21:09:10.440539,41.58,66.19,97.22,6.06,49.84,12.7,ALTO
Zona Sul - Área de Deslizamento,2026-06-04 20:09:10.440548,32.68,32.44,75.63,4.65,5.56,6.83,MEDIO
Interior SP - Área de Queimada,2026-06-04 19:09:10.440557,18.59,94.67,106.2,3.85,54.28,11.73,ALTO
Zona Norte - Área de Enchente,2026-06-04 18:09:10.440566,33.84,91.16,80.17,6.9,3.32,44.97,ALTO
Interior SP - Área de Queimada,2026-06-04 17:09:10.440576,27.0,48.19,11.71,1.71,41.62,38.0,BAIXO
Zona Sul - Área de Deslizamento,2026-06-04 16:09:10.440586,19.87,73.34,25.94,5.72,13.77,44.96,MEDIO
Zona Norte - Área de Enchente,2026-06-04 15:09:10.440595,38.76,74.02,36.37,1.09,24.45,24.86,BAIXO
Interior SP - Área de Queimada,2026-06-04 14:09:10.440604,38.88,86.92,81.4,5.35,23.09,31.72,ALTO
Zona Norte - Área de Enchente,2026-06-04 13:09:10.440613,31.1,48.12,35.89,3.83,39.38,21.51,BAIXO
Zona Sul - Área de Deslizamento,2026-06-04 12:09:10.440625,26.17,28.88,44.7,3.3,17.98,13.58,MEDIO
Zona Norte - Área de Enchente,2026-06-04 11:09:10.440636,34.43,73.11,35.0,3.26,46.33,12.24,BAIXO
Zona Norte - Área de Enchente,2026-06-04 10:09:10.440645,38.65,72.01,96.73,3.51,46.58,19.49,ALTO
Zona Sul - Área de Deslizamento,2026-06-04 09:09:10.440655,26.64,56.05,116.37,0.81,56.85,22.9,ALTO
Zona Sul - Área de Deslizamento,2026-06-04 08:09:10.440663,33.32,78.11,18.89,4.4,39.28,41.27,MEDIO
Zona Sul - Área de Deslizamento,2026-06-04 07:09:10.440672,18.19,46.88,21.49,3.44,12.94,12.88,BAIXO
Zona Norte - Área de Enchente,2026-06-04 06:09:10.440681,37.2,64.82,92.45,6.65,35.04,3.42,ALTO
Litoral SP - Área de Enchente,2026-06-04 05:09:10.440690,37.14,60.87,14.45,6.31,18.85,38.01,ALTO
Interior SP - Área de Queimada,2026-06-04 04:09:10.440700,29.66,68.07,33.84,6.09,50.79,13.18,ALTO
Interior SP - Área de Queimada,2026-06-04 03:09:10.440713,40.7,90.63,60.89,5.86,29.19,26.26,MEDIO
Interior SP - Área de Queimada,2026-06-04 02:09:10.440722,18.82,37.11,103.25,0.94,22.68,15.03,ALTO
Zona Norte - Área de Enchente,2026-06-04 01:09:10.440732,39.9,71.57,74.09,4.2,42.37,6.86,MEDIO
Zona Norte - Área de Enchente,2026-06-04 00:09:10.440741,19.48,70.04,92.83,4.48,20.04,26.0,ALTO
Zona Sul - Área de Deslizamento,2026-06-03 23:09:10.440750,29.09,77.19,59.4,3.8,13.61,34.98,MEDIO
Litoral SP - Área de Enchente,2026-06-03 22:09:10.440760,24.78,26.2,89.87,3.18,38.37,32.73,ALTO
Zona Sul - Área de Deslizamento,2026-06-03 21:09:10.440769,18.12,70.81,37.76,2.45,15.18,44.92,BAIXO
Interior SP - Área de Queimada,2026-06-03 20:09:10.440778,19.6,88.32,55.58,7.92,13.67,43.29,ALTO
Zona Norte - Área de Enchente,2026-06-03 19:09:10.440785,33.12,94.29,99.47,4.57,41.82,33.6,ALTO
Interior SP - Área de Queimada,2026-06-03 18:09:10.440793,36.88,44.54,81.8,4.73,3.61,40.79,ALTO
Zona Sul - Área de Deslizamento,2026-06-03 17:09:10.440802,36.15,42.83,116.05,4.19,48.47,6.82,ALTO
Litoral SP - Área de Enchente,2026-06-03 16:09:10.440809,18.74,91.69,101.48,6.54,55.94,27.13,ALTO
Zona Norte - Área de Enchente,2026-06-03 15:09:10.440819,34.88,65.53,0.76,7.38,23.18,24.45,ALTO
Zona Sul - Área de Deslizamento,2026-06-03 14:09:10.440827,22.9,94.23,5.19,5.52,25.39,2.98,MEDIO
Zona Sul - Área de Deslizamento,2026-06-03 13:09:10.440837,34.18,73.37,75.27,4.11,41.24,22.39,MEDIO
Litoral SP - Área de Enchente,2026-06-03 12:09:10.440845,36.01,32.91,85.26,4.51,36.13,28.68,ALTO
Zona Sul - Área de Deslizamento,2026-06-03 11:09:10.440855,33.83,92.5,83.13,2.53,12.75,7.84,ALTO
Zona Norte - Área de Enchente,2026-06-03 10:09:10.440864,25.05,50.71,31.71,4.43,5.02,37.5,MEDIO
Zona Sul - Área de Deslizamento,2026-06-03 09:09:10.440873,25.89,43.77,61.8,0.61,22.87,36.07,MEDIO
Interior SP - Área de Queimada,2026-06-03 08:09:10.440881,19.74,29.33,106.01,4.85,32.14,17.64,ALTO
Litoral SP - Área de Enchente,2026-06-03 07:09:10.440889,30.9,26.49,113.55,1.53,25.72,14.22,ALTO
Interior SP - Área de Queimada,2026-06-03 06:09:10.440899,21.33,73.4,43.28,7.4,28.64,27.23,ALTO
Interior SP - Área de Queimada,2026-06-03 05:09:10.440907,28.56,69.79,82.06,7.37,14.83,43.67,ALTO
Litoral SP - Área de Enchente,2026-06-03 04:09:10.440917,35.33,37.83,90.29,4.33,25.24,6.92,ALTO
Zona Sul - Área de Deslizamento,2026-06-03 03:09:10.440927,24.92,48.47,92.15,7.86,36.39,9.64,ALTO
Interior SP - Área de Queimada,2026-06-03 02:09:10.440936,26.58,22.04,67.21,6.37,48.27,0.98,ALTO
Zona Sul - Área de Deslizamento,2026-06-03 01:09:10.440946,25.97,72.31,44.02,5.16,7.66,40.19,MEDIO
Zona Sul - Área de Deslizamento,2026-06-03 00:09:10.440958,24.67,60.88,109.52,3.3,14.35,37.57,ALTO
Zona Sul - Área de Deslizamento,2026-06-02 23:09:10.440967,24.69,92.49,84.59,7.85,34.72,23.56,ALTO
Interior SP - Área de Queimada,2026-06-02 22:09:10.440977,23.71,71.68,38.5,2.47,12.22,22.66,BAIXO
Zona Sul - Área de Deslizamento,2026-06-02 21:09:10.440986,26.93,44.84,72.54,0.5,56.44,7.74,MEDIO
Zona Sul - Área de Deslizamento,2026-06-02 20:09:10.440995,20.72,65.6,48.04,2.93,16.55,18.65,MEDIO
Zona Sul - Área de Deslizamento,2026-06-02 19:09:10.441004,34.84,49.68,106.77,1.64,57.3,11.58,ALTO
Interior SP - Área de Queimada,2026-06-02 18:09:10.441014,32.1,26.48,107.89,1.74,27.96,8.99,ALTO
Zona Norte - Área de Enchente,2026-06-02 17:09:10.441025,25.11,42.87,22.08,3.02,16.47,5.89,BAIXO
Interior SP - Área de Queimada,2026-06-02 16:09:10.441034,25.13,75.01,55.51,4.9,3.19,25.4,MEDIO
Litoral SP - Área de Enchente,2026-06-02 15:09:10.441044,25.16,79.37,65.74,7.23,40.56,42.03,ALTO
